name,arbor_id,stype,arbor_order,LD,ptype
18465_00241,0,VPM,0,1,TH_core
18465_00241,1,VPM,1,1,TH_core
18462_00061,0,VPM,1,1,TH_core
18462_00061,1,VPM,0,1,TH_core
18465_00127,0,VPM,0,0,TH_core
18465_00127,1,VPM,1,1,TH_core
18455_00206,0,VPM,1,1,TH_core
18455_00206,1,VPM,0,0,TH_core
18455_00264,0,VPM,0,1,TH_core
18455_00264,1,VPM,1,1,TH_core
18458_00306,0,VPM,1,1,TH_core
18458_00306,1,VPM,0,0,TH_core
18465_00084,0,VPM,1,1,TH_core
18465_00084,1,VPM,0,1,TH_core
18454_00066,0,VPM,1,1,TH_core
18454_00066,1,VPM,0,1,TH_core
18462_00013,0,VPM,1,1,TH_core
18462_00013,1,VPM,0,1,TH_core
18457_00083,0,VPM,1,1,TH_core
18457_00083,1,VPM,0,0,TH_core
18454_00153,0,VPM,1,1,TH_core
18454_00153,1,VPM,0,1,TH_core
18457_00152,0,VPM,1,1,TH_core
18457_00152,1,VPM,0,0,TH_core
18454_01060,0,VPM,1,1,TH_core
18454_01060,1,VPM,0,1,TH_core
18457_00048,0,VPM,1,1,TH_core
18457_00048,1,VPM,0,0,TH_core
18454_01118,0,VPM,1,1,TH_core
18454_01118,1,VPM,0,0,TH_core
18457_00058,0,VPM,1,1,TH_core
18457_00058,1,VPM,0,0,TH_core
18454_01108,0,VPM,1,1,TH_core
18454_01108,1,VPM,0,0,TH_core
18454_00131,0,VPM,1,1,TH_core
18454_00131,1,VPM,0,1,TH_core
18464_00042,0,VPM,0,1,TH_core
18464_00042,1,VPM,1,1,TH_core
18464_00052,0,VPM,1,1,TH_core
18464_00052,1,VPM,0,0,TH_core
18454_01095,0,VPM,1,1,TH_core
18454_01095,1,VPM,0,1,TH_core
18454_01085,0,VPM,1,1,TH_core
18454_01085,1,VPM,0,1,TH_core
18464_00183,0,VPM,1,1,TH_core
18464_00183,1,VPM,0,0,TH_core
18465_00126,0,VPM,0,0,TH_core
18465_00126,1,VPM,1,1,TH_core
18454_00067,0,VPM,1,1,TH_core
18454_00067,1,VPM,0,1,TH_core
18457_00066,0,VPM,1,1,TH_core
18457_00066,1,VPM,0,0,TH_core
18454_01126,0,VPM,1,1,TH_core
18454_01126,1,VPM,0,0,TH_core
18458_00542,0,VPM,0,1,TH_core
18458_00542,1,VPM,1,1,TH_core
18458_00119,0,VPM,0,1,TH_core
18458_00119,1,VPM,1,1,TH_core
18454_00152,0,VPM,1,1,TH_core
18454_00152,1,VPM,0,1,TH_core
18457_00143,0,VPM,1,1,TH_core
18457_00143,1,VPM,0,1,TH_core
18454_01013,0,VPM,1,1,TH_core
18454_01013,1,VPM,0,0,TH_core
18463_00031,0,VPM,1,1,TH_core
18463_00031,1,VPM,0,0,TH_core
18454_01109,0,VPM,1,1,TH_core
18454_01109,1,VPM,0,0,TH_core
18457_00059,0,VPM,0,0,TH_core
18457_00059,1,VPM,1,1,TH_core
18454_01119,0,VPM,1,1,TH_core
18454_01119,1,VPM,0,1,TH_core
18454_01061,0,VPM,0,0,TH_core
18454_01061,1,VPM,1,1,TH_core
18457_00049,0,VPM,1,1,TH_core
18457_00049,1,VPM,0,1,TH_core
18454_00048,0,VPM,0,1,TH_core
18454_00048,1,VPM,1,1,TH_core
18454_00106,0,VPM,1,1,TH_core
18454_00106,1,VPM,0,0,TH_core
18454_01047,0,VPM,0,1,TH_core
18454_01047,1,VPM,1,1,TH_core
18465_00292,0,VPM,0,1,TH_core
18465_00292,1,VPM,1,1,TH_core
18458_00580,0,VPM,0,1,TH_core
18458_00580,1,VPM,1,1,TH_core
18454_01035,0,VPM,0,0,TH_core
18454_01035,1,VPM,1,1,TH_core
18454_00164,0,VPM,1,1,TH_core
