name,bnum,tebratio,pd2s_max,pd2s_min,pd2s_mean,pd2s_std,ed2s_max,ed2s_min,ed2s_mean,ed2s_std,binterval_max,binterval_min,binterval_mean,binterval_std,bdist2pb_max,bdist2pb_min,bdist2pb_mean,bdist2pb_std,neighborb_max,neighborb_min,neighborb_mean,neighborb_std,soma_region
18454_01092,1007,0.0019860973187686196,7675.73,1134.5,6983.954716981132,704.5232831913661,2580.64,654.05,2331.1751042701094,196.38688251667003,108.47,0.39,10.910158887785501,8.394340193894513,189.92711,0.38943,15.680897020854022,13.093301634424988,513.0,0.0,265.862959285005,134.4651842438737,MG
17787_00026,801,0.012484394506866416,5598.97,104.87,3270.0243820224723,1482.985285853723,2666.52,12.43,1592.5240574282147,691.5615827805154,121.47,0.24,9.385430711610487,9.198631819216683,121.4665,0.24081,13.955691985018724,13.395687124785722,104.0,1.0,41.313358302122346,23.333354534500803,CP
18465_00048,2751,0.002544529262086514,11428.48,107.12,7701.0053907669935,2412.125615226066,3659.4,89.11,3145.560050890585,680.0048461490398,119.94,0.2,12.765845147219192,11.222200691811059,223.35129,0.19521,20.252418091603055,20.78169652893691,197.0,0.0,60.589603780443476,45.56515280410167,PO
18457_00136,4320,0.0020833333333333333,32288.35,26.64,18431.77750925926,8283.545169411585,6053.3,23.91,4903.496157407407,1245.2181995490662,783.69,0.28,13.949296296296296,18.887687782546383,1425.78357,0.28395,24.033416030092592,37.53750499883643,120.0,0.0,26.271296296296295,19.44204370380294,VM
18455_00002,637,0.009419152276295133,3023.37,79.24,906.3277080062794,794.2157968856612,1408.07,9.17,415.92703296703297,425.65543871947165,84.64,0.34,10.768116169544742,8.59757351495025,89.98849,0.33754,16.425823893249607,13.38744613598746,222.0,1.0,101.59183673469387,73.18029211052732,CP
18463_00046,743,0.0013458950201884253,10683.06,1770.93,8013.08074024226,1519.1191241772633,4532.74,787.45,3938.5166621803496,727.6537881120413,287.1,0.5,26.712772543741593,31.149925334859653,509.02109,0.49894,45.0272306729475,53.554747740199474,98.0,0.0,32.917900403768506,22.27898311968502,SMT
17302_00124,977,0.006141248720573183,3207.9,107.47,1089.1254145342887,879.7278735789255,1561.66,39.9,508.45886386898667,418.21172611597166,94.71,0.28,10.238894575230299,8.93324488333531,119.50704,0.27616,15.398019621289661,13.868274241097835,115.0,3.0,39.91606960081884,25.57849373816182,CP
18457_00209,3263,0.00030646644192460924,14889.92,2434.08,9168.923953417101,2858.7990826962023,5689.22,1668.57,4603.798905914802,1012.9730162982191,355.48,0.31,13.102460925528655,15.349258660541027,1226.646,0.30633,23.865430585350904,37.67429311577343,151.0,0.0,41.4134232301563,35.89641789820111,MD
18455_00147,1277,0.003915426781519186,7792.74,580.48,5424.456233359436,1462.6894660686203,3349.58,470.09,2863.0568285043073,593.8912405650965,69.86,0.17,12.1669068128426,8.449607904033474,117.28946,0.17309,17.52988667971809,12.97413617072156,228.0,3.0,76.8770555990603,54.9436423833154,VPM
18454_00046,620,0.0032258064516129032,5973.57,3510.45,4574.069919354838,707.2432418845947,3066.8,2232.97,2752.3691290322577,249.90802150165538,71.07,0.25,11.74425806451613,8.47678383766796,107.20039,0.25131,17.042791709677417,13.098418965003837,187.0,2.0,78.54193548387097,52.96937130769538,VPM
18457_00065,506,0.0,4757.71,678.39,4216.261363636364,827.1897789733252,2550.07,493.28,2242.0561067193676,421.16806323505676,49.05,0.38,10.674209486166006,6.601182212420227,135.18065,0.37738,16.02349033596838,14.513758331625036,192.0,4.0,86.18972332015811,50.54290965074034,VPM
