name,withbbr,nobbr,axonal_tip_brs,axonal_tip_wb_brs,axonal_bif_brs,axonal_bif_wb_brs,bnums,withb_br_len,nob_br_len,w_br_tor,n_br_tor,withbbif,nobbif,withb_br_angle,nob_br_angle,withb_br_rangle,nob_br_rangle,soma_region,brain_region
18867_4473_x25161_y6054,374,83,246,212,211,162,3.414438502673797,90.04073612299466,236.7401332530121,0.20421984239130442,0.15449780000000013,162,49,77.13308913580248,86.75166918367347,73.26132783950618,90.81091224489796,SSp-ll,CTX
18867_4689_x11723_y7039,230,62,138,120,154,110,5.078260869565217,130.65073206956524,299.0560653225806,0.1804371654676259,0.15198532258064523,110,44,79.44355281818184,75.60240045454545,72.60998163636364,70.06252954545457,SSp-ul,CTX
18454_00073,239,117,153,133,203,106,5.443514644351464,104.10610058577407,125.60749888888888,0.10367493548387119,0.10922695238095248,106,97,81.68581971698113,76.27589690721649,75.67310716981132,78.47785412371135,VPLpc,TH
18869_4693_x19236_y9148,461,178,335,260,304,201,1.9197396963123645,37.765222290672455,20.97045275842697,0.09721610843373496,0.15529475000000004,201,103,84.80199447761194,79.61349999999999,77.97411293532339,75.68523495145632,RT,TH
18454_00072,352,154,214,201,292,151,4.9914772727272725,111.13053917613637,121.97129514285713,0.1276935864978902,0.14412367741935472,151,141,72.95242774834438,77.80026482978722,63.25980198675496,73.27877659574467,VPM,TH
18462_00025,155,39,80,73,114,82,3.967741935483871,96.29627251612904,160.61191923076922,0.13503040229885077,0.15715819999999991,82,32,72.9607574390244,73.8569221875,69.81599146341463,65.072445625,MG,TH
17545_00066,217,54,109,89,162,128,4.6036866359447,81.0115369124424,72.13521499999999,0.2236115840707964,0.20835511111111105,128,34,79.962229140625,86.88135882352941,82.96065,88.07992058823531,CP,CNU
18864_5099_x6368_y29941,229,20,98,95,151,134,8.799126637554584,182.70879026200873,467.2540144999999,0.16699488586956535,0.09577912499999996,134,17,72.40970223880596,83.50635294117647,67.97552052238807,70.1627294117647,SSp-bfd,CTX
18462_00024,183,47,90,81,140,102,4.240437158469946,108.8190905464481,175.20071702127657,0.12054777419354834,0.23077077777777788,102,38,74.24853137254904,85.37592368421052,65.5555261764706,82.2069842105263,LGd,TH
236174_6338_x12496_y6617,284,63,158,122,189,162,9.524647887323944,511.26292936619717,170.20819507936508,0.21129971814671822,0.15437968181818207,162,27,61.34756438271604,85.15271,68.79589148148149,93.43004444444445,ECT,CTX
17545_00067,195,42,105,84,132,111,6.651282051282052,97.35380953846153,54.30119952380952,0.27587571999999994,0.21611455555555548,111,21,81.37024388378381,74.54024285714287,89.10120315315315,74.15910857142858,CP,CNU
18457_00087,191,55,121,93,125,98,2.392670157068063,48.188004764397895,98.21413381818182,0.22866249090909074,0.1318933333333333,98,27,86.48006316326529,88.89624814814815,78.74236877551022,88.9535185185185,CP,CNU
18458_00574,247,52,145,132,154,115,6.02834008097166,125.54907340080973,148.27669730769233,0.12163047727272736,0.15967155555555557,115,39,73.21084713043479,80.89221840769233,63.58134373913043,70.80322564102565,MG,TH
17545_00126,61,22,30,24,53,37,3.2950819672131146,75.46397924590163,374.18230304545455,0.25204508823529426,0.1621188,37,16,76.66257837837838,77.68453124999999,89.03960972972973,90.86857499999999,CP,CNU
18864_00021,398,61,226,204,233,194,5.336683417085427,169.48020909547736,222.47659344262297,0.14819737461300309,0.08504862499999999,194,39,67.9547680412371,71.9478023076923,65.10553572164949,61.919847948717944,SSp-ul,CTX
18453_7245_x12979_y2864,170,36,82,66,124,104,5.588235294117647,179.41655382352943,74.80198305555557,0.19987886363636354,0.17321733333333333,104,20,73.99603096153847,83.7462,64.37024817307693,68.7240745,VISp,CTX
18458_00575,382,100,224,195,258,187,4.285340314136126,73.59023139790575,90.43746301999998,0.1914888325123152,0.18175670967741941,187,71,76.04028112299464,79.88479565492956,73.03920946524065,81.5510990140845,VPM,TH
pre_18864_00084,213,27,111,93,129,120,5.056338028169014,107.82546572769954,26.87270555555556,0.2132803303571429,0.1093455000000001,120,9,81.59519775,68.07057777777779,85.59926033333333,73.43599999999999,SSp-ll,CTX
18455_00182,100,31,55,48,76,52,2.58,54.7181976,201.58560322580644,0.23042189189189188,0.20348872727272738,52,24,88.87178076923078,100.22592916666667,89.06676153846153,95.85970916666668,CP,CNU
18454_00132,295,131,184,159,242,136,5.013559322033898,108.06200559322033,136.52733145038167,0.11425299514563103,0.12589359999999994,136,106,75.23822220588237,86.37791698113207,69.52092044117647,82.95254433962266,VPMpc,TH
18868_7311_x22238_y17329,83,30,56,39,57,44,3.7349397590361444,203.02653349397593,305.8012606666667,0.1943545238095239,0.22629778571428572,44,13,64.06873954545455,73.26271538461539,51.73080931818181,45.17787846153847,TRN,Other
18868_3112_x27714_y10534,258,66,142,126,182,132,7.5813953488372094,168.82856437984498,374.50502984848487,0.15998945454545455,0.13211563157894723,132,50,64.6179584090909,67.37011319999999,57.57992598484849,68.382547,MOp,CTX
18454_00133,291,107,194,164,204,127,3.872852233676976,72.695972604811,104.9135971775701,0.11786051428571431,0.14229725925925918,127,77,72.15679102362205,79.6371064935065,65.37503913385827,75.19773844155844,VPM,TH
18455_00019,192,123,125,92,190,100,3.65625,64.04282476041666,102.03674698373983,0.11503313978494611,0.15201227450980392,100,90,83.044573,91.91514933333332,83.86944039999999,87.79305744444444,VPL,TH
18465_00126,212,39,115,107,136,105,4.660377358490566,87.51579603773585,108.10107617948717,0.1634714710743801,0.18932671428571435,105,31,73.67589563714284,81.6443677419355,74.6475221904762,78.77477419354838,VPM,TH
191812_5219_x4127_y21100,232,88,148,102,172,130,4.6594827586206895,256.6082182327586,189.07218136363636,0.16596233668341698,0.13380442105263168,130,42,70.779107,71.49726928571428,73.54087930769232,80.69615952380953,SSp-ul,CTX
18453_3471_x28224_y8289,177,15,102,99,90,78,6.0790960451977405,159.19486581920904,146.28672253333335,0.19993511278195497,0.26945240000000004,78,12,79.72105846153848,88.26620000000001,72.03003423076922,92.30459583333332,SSp-ul,CTX
18465_00127,202,42,106,98,138,104,4.024752475247524,73.28901916831684,143.0403204761905,0.15314534313725514,0.18023935294117654,104,34,74.63079163461538,71.25619705882353,65.87974048076923,65.4685588235294,VPM,TH
18455_00018,201,83,134,111,150,90,5.91044776119403,132.7991585074627,151.7066060240964,0.10821997945205475,0.1451577428571429,90,60,84.20629333333333,79.73944266666668,77.89502333333333,87.56957583333333,LGd,TH
236174_2801_x11376_y11451,325,135,229,146,231,179,6.849230769230769,445.6550923384615,103.86305376296296,0.20730862459546928,0.1807511538461537,179,52,60.68776452290503,71.03430134615384,64.3599669273743,62.35325442307692,AId,CTX
18464_00197,473,94,237,197,330,276,4.1247357293868925,98.24479938689218,175.1966886595745,0.1534340326086956,0.1379070714285715,276,54,75.93147362318841,87.12188925925926,72.00232634057971,82.17719351851851,LP,TH
18454_01006,325,126,213,193,238,132,4.2215384615384615,90.81476609230769,131.44245,0.11833827225130877,0.17827320312499995,132,106,70.11449787878789,73.8446933962264,59.844663636363634,59.99845575471698,VPL,TH
18464_00196,683,114,369,319,428,364,4.266471449487555,92.89221701464129,188.8247008157895,0.16098997574123985,0.20553980000000005,364,64,80.22267837912088,79.12721575625,76.53709818681318,81.18811734375001,LP,TH
18454_01007,265,119,172,146,212,119,5.230188679245283,144.3245576981132,151.01611689075628,0.10043922388059712,0.15084739393939384,119,93,74.36502025210085,74.76082,61.00700907563026,66.50888946236559,VPL,TH
18868_3783_x28846_y9268,186,83,122,105,147,81,4.381720430107527,106.83225086021505,257.1460377108434,0.16495380999999976,0.11901379661016931,81,66,75.03573333333334,74.22130712121212,76.13013296296297,75.5830106060606,SSp-m,CTX
18864_4693_x10912_y2095,252,81,165,108,168,144,4.01984126984127,235.1945870238095,99.3911258271605,0.22791550990099008,0.1506956521739129,144,24,81.807015,86.78533333333333,76.25352416666666,104.16592916666666,SSs,CTX
pre_18454_00450,114,21,63,53,72,61,3.5526315789473686,110.13852798245613,107.57752857142859,0.19835979166666662,0.09015275000000011,61,11,89.21154918032785,72.28090909090909,92.16643918032786,96.63979090909092,CP,CNU
18868_3564_x27379_y8431,400,194,284,201,310,199,3.3425,117.05191295,169.5977504690722,0.2141448548387097,0.18900802941176453,199,111,72.908353919598,82.64954441441442,75.09427386934672,75.12068351351351,SSp-ul,CTX
18454_01094,235,96,146,129,185,106,4.863829787234042,99.49466936170214,91.84370916666667,0.1461274520547945,0.15178070588235282,106,79,81.74915283018868,86.8791164556962,74.5419037735849,75.78388594936708,VPM,TH
17781_6262_x6896_y13574,246,30,131,115,145,131,13.869918699186991,317.4186523170732,215.9526259333333,0.20470322051282042,0.13382000000000005,131,14,81.61782886030534,60.12444357142857,85.10100740458013,66.47896428571428,SSp-bfd,CTX
18869_5343_x5414_y5337,232,57,123,105,166,127,5.719827586206897,199.0481030603448,364.86583877192976,0.15793839306358393,0.1480444999999999,127,39,72.90593622047241,70.15531794871795,63.60499291338583,71.11399435897438,SSs,CTX
18869_3590_x6132_y6798,180,55,103,89,132,91,4.466666666666667,151.6162886111111,298.3455210909091,0.19214088785046723,0.16719358620689662,91,41,77.19548681318682,79.17107097560977,68.54103054945055,64.04022658536586,SSp-m,CTX
18454_01095,102,54,57,51,99,51,4.745098039215686,80.87090732352941,130.090635,0.17255601960784295,0.1652898214285713,51,48,69.0491488235294,65.18015833333334,62.775160784313734,57.467441875,VPM,TH
18457_00015,208,66,119,96,155,112,2.293269230769231,39.601874759615384,53.55913634848485,0.20030449180327858,0.1432627999999999,112,43,91.45144124999999,104.5465465116279,88.47183901785715,93.01621697674418,CP,CNU
182725_4290_x5671_y18488,199,133,159,99,173,100,4.5376884422110555,261.16665979899494,227.2172187218045,0.17620143137254907,0.21445328000000008,100,73,64.6433758,79.69748438356166,69.83072560000001,67.24183891780822,MOp,CTX
18465_00248,19,6,13,11,12,8,7.631578947368421,119.41352631578947,209.70791500000004,0.4150077999999999,0.17583766666666667,8,4,71.74346375,86.35515000000001,71.405925,83.93355000000001,DG,CTX
18457_00014,138,59,87,65,110,73,2.1449275362318843,50.6552313768116,110.04529169491526,0.2545403195652173,0.17321900000000012,73,37,87.7881676712329,82.51764594594593,94.64980273972603,75.80903459459459,CP,CNU
pre_18469_00002,673,181,397,328,457,345,5.089153046062407,115.6703099257058,207.36326586187843,0.21580673614775725,0.16513494339622636,345,112,76.44176343739132,86.11822142857143,74.06588413913043,83.03594553571429,SSp-ul,CTX
18455_00110,89,17,42,38,64,51,4.348314606741573,102.49070494382022,382.8619706470588,0.25179776923076913,0.47638400000000003,51,13,82.78719215686276,94.82660000000001,85.80059999999999,99.24137692307691,CP,CNU
pre_18864_00016,299,53,149,125,203,174,4.816053511705686,128.6250079264214,166.29785403773585,0.16995193814433007,0.12378449999999996,174,29,75.86446925287356,82.0759551724138,78.28531448275862,82.50266551724138,SSp-ul,CTX
17302_00038,190,57,120,101,127,89,6.226315789473684,110.11791073684209,148.60091017543863,0.17959357142857135,0.20121209090909076,89,38,72.16383592808988,73.07459973684212,67.33208539325844,71.10433157894738,MG,TH
18869_5692_x6534_y3440,546,155,342,286,359,260,2.6245421245421245,60.08842505494505,23.05095120645161,0.1497080114503817,0.11506150000000004,260,99,81.36933147692308,80.17043535353535,69.559416,72.99461393939394,SSp-bfd,CTX
17302_00039,198,78,127,103,149,95,6.01010101010101,131.96803575757576,113.10909875641025,0.15800513513513526,0.15717155999999988,95,54,72.8958112631579,71.59753168518517,73.29460578947368,68.29289722222222,LGd,TH
18864_00057,496,104,278,205,322,291,6.564516129032258,201.91941858870968,91.13058933653845,0.18909781351351362,0.12496363636363628,291,31,71.8749553814433,73.51885129032256,74.30288391752578,58.83887580645162,ORBm,CTX
