name,P1,P2,P3,P4,soma_region,brain_region
18453_3678_x8938_y8684,0.24922760041194644,0.4376930998970134,0.24407826982492276,0.0690010298661174,SSp-m,CTX
18462_00026,0.0,0.03276003276003276,0.07125307125307126,0.895986895986896,MG,TH
18453_3326_x29413_y10076,0.4653098982423682,0.40888066604995377,0.0786308973172988,0.04717853839037928,SSp-m,CTX
18453_4725_x30684_y6703,0.4958553127354936,0.0746043707611153,0.3654860587792012,0.0640542577241899,SSp-bfd,CTX
17787_00014,0.34767025089605735,0.11290322580645161,0.0,0.5394265232974911,CP,CNU
18457_00041,0.3448979591836735,0.18979591836734694,0.2816326530612245,0.1836734693877551,CP,CNU
18464_00194,0.0,0.06994619523443504,0.1579554189085319,0.772098385857033,LP,TH
18869_4469_x21852_y5924,0.4178628389154705,0.20414673046251994,0.2583732057416268,0.11961722488038277,SSp-n,CTX
18453_3471_x28224_y8289,0.40384615384615385,0.38461538461538464,0.13374125874125875,0.0777972027972028,SSp-ul,CTX
pre_18454_00376,0.1782608695652174,0.1282608695652174,0.12391304347826088,0.5695652173913044,CP,CNU
pre_18465_00102,0.512396694214876,0.12396694214876033,0.21487603305785125,0.1487603305785124,DG,CTX
17545_00113,0.5951184493898062,0.21464465183058148,0.01507537688442211,0.17516152189519024,CP,CNU
18869_7121_x17742_y2862,0.07528735632183908,0.32873563218390806,0.3310344827586207,0.2649425287356322,RSPagl,CTX
18463_00069,0.06190476190476191,0.0,0.049206349206349205,0.8888888888888888,VPM,TH
18454_00086,0.5816249050873197,0.1829916476841306,0.12224753227031131,0.11313591495823842,CP,CNU
18867_3525_x9958_y10743,0.476303317535545,0.06753554502369669,0.39454976303317535,0.061611374407582936,SSp-m,CTX
191807_5178_x5002_y23078,0.2577220077220077,0.4642857142857143,0.24517374517374518,0.032818532818532815,SSp-bfd,CTX
18454_00069,0.011278195488721804,0.021616541353383457,0.5159774436090225,0.45112781954887216,MG,TH
17545_00056,0.037383177570093455,0.0,0.09946595460614152,0.863150867823765,VPM,TH
18869_3701_x5589_y7633,0.5304709141274239,0.07756232686980609,0.12880886426592797,0.2631578947368421,SSp-m,CTX
18455_5404_x24949_y14106,0.03581267217630854,0.0,0.2628886265249902,0.7012987012987013,VPM,TH
18454_01101,0.05309734513274336,0.0,0.07743362831858407,0.8694690265486725,VPM,TH
pre_18864_00059,0.3756345177664975,0.1802030456852792,0.312545322697607,0.1316171138506164,MOp,CTX
18864_5648_x4839_y28849,0.9097127222982216,0.06292749658002736,0.02051983584131327,0.006839945280437756,SSp-bfd,CTX
18454_01044,0.02734375,0.0,0.0,0.97265625,VPM,TH
17109_2601_x9498_y8169,0.2775330396475771,0.0,0.4933920704845815,0.2290748898678414,AId,CTX
18458_00488,0.21607142857142858,0.20357142857142857,0.48214285714285715,0.09821428571428571,CP,CNU
18470_3227_x19287_y16117,0.5666412795125666,0.19345011424219344,0.08073115003808073,0.15917745620715917,SSp-m,CTX
pre_18458_00374,0.9818181818181818,0.01818181818181818,0.0,0.0,DG,CTX
18453_5113_x9557_y5782,0.6227979274611399,0.32746113989637304,0.04766839378238342,0.002072538860103627,SSp-bfd,CTX
191812_4322_x7645_y6848,0.47854785478547857,0.44994499449944997,0.0165016501650165,0.05500550055005501,SSp-n,CTX
17545_00144,0.42767950052029136,0.23100936524453694,0.18522372528616024,0.15608740894901144,CP,CNU
18455_4709_x21225_y13716,0.07448275862068965,0.046206896551724136,0.5448275862068965,0.33448275862068966,IAD,TH
18867_5942_x29015_y5711,0.41527001862197394,0.0,0.19366852886405958,0.39106145251396646,SSp-bfd,CTX
17545_00001,0.4347496206373293,0.19878603945371776,0.26327769347496205,0.10318664643399089,CP,CNU
18869_4054_x19963_y5080,0.2607099143206854,0.2533659730722154,0.18727050183598531,0.29865361077111385,SSp-un,CTX
18867_4874_x16831_y16618,0.01633705932932072,0.13757523645743766,0.5339638865004299,0.31212381771281167,RT,TH
17787_00048,0.35294117647058826,0.0639386189258312,0.0,0.5831202046035806,CP,CNU
18458_00430,0.04752342704149933,0.0,0.01740294511378849,0.9350736278447122,VPM,TH
18464_00127,0.04684788895315211,0.0,0.055523423944476576,0.8976286871023713,VPM,TH
182724_3887_x5901_y10339,0.5105946684894054,0.10047846889952153,0.06493506493506493,0.3239917976760082,SSp-ul,CTX
18458_00125,0.05750798722044728,0.0,0.0,0.9424920127795527,VPM,TH
18454_01013,0.06581059390048154,0.0,0.011235955056179775,0.9229534510433387,VPM,TH
18458_00575,0.0317227916056613,0.0,0.12201073694485115,0.8462664714494875,VPM,TH
17109_6401_x7641_y3978,0.13135593220338984,0.11864406779661017,0.4110169491525424,0.3389830508474576,AUDv,CTX
