,prefix,region,max_density_basal,num_nodes_basal,total_path_length_basal,volume_basal,num_branches_basal,dist_to_soma_basal,dist_to_soma2_basal,num_hubs_basal,variance_ratio_basal
406,17781_5361_x17741_y11849,CP,74,74,176.0109,796.2425,34,0.5059,0.0,1,0.5288115996153822
407,17787_00007,CP,32,32,70.1192,290.8604,14,1.2998,0.0,0,0.5447355987629003
408,17787_00013,CP,64,64,161.2031,1279.9552,30,0.9037,0.0,1,0.4497480197892125
409,17787_00014,CP,86,86,201.386,1252.4844,39,0.9469,0.0,1,0.43957765131433607
410,17787_00019,CP,82,82,174.3667,1401.817,39,0.8983,0.0,1,0.41801511126432084
411,17787_00026,CP,45,45,92.0468,187.728,20,1.4272,0.0,0,0.5467683418349315
412,17787_00029,CP,81,81,167.9763,668.8141,36,0.3687,0.0,1,0.4584779485402501
413,17787_00048,CP,75,75,127.4126,1040.4014,34,1.2492,0.0,1,0.38166806146612753
414,17787_00049,CP,70,70,125.6465,990.1224,33,0.7666,0.0,1,0.3837247766463338
415,17787_00050,CP,85,85,157.6352,915.0915,41,0.5136,0.0,1,0.40717820363605656
416,18454_00002,CP,42,42,74.9105,195.6669,20,1.2988,0.0,0,0.616055342061443
417,18454_00003,CP,94,94,182.6958,1234.9768,45,0.4272,0.0,1,0.44857750066207047
418,18454_00004,CP,76,76,157.5706,1562.6225,36,0.6168,0.0,1,0.3939873549832736
419,18454_00009,CP,41,41,68.3614,301.5792,20,0.524,0.0,0,0.4770409779554878
420,18454_00010,CP,40,40,76.7888,755.0101,18,0.3334,0.0,0,0.36284619051913175
421,18454_00011,CP,30,30,71.5005,438.6596,12,1.2681,0.0,0,0.4987277078150437
422,18454_00014,CP,69,69,147.611,972.5898,32,0.4394,0.0,1,0.40782819994295016
423,18454_00015,CP,47,47,105.3369,1014.2092,23,0.5951,0.0,0,0.39286883529558436
424,18454_00016,CP,37,37,89.3976,993.6812,15,0.7918,0.0,0,0.3898102479731633
425,18454_00017,CP,30,30,68.0637,530.5285,14,0.8491,0.0,0,0.4009515678502498
426,18454_00018,CP,46,46,87.6257,380.3975,21,1.1707,0.0,0,0.497675593917723
427,18454_00020,CP,25,25,74.7479,892.0704,11,2.0939,0.0,0,0.5961632982573659
428,18454_00021,CP,55,55,75.7826,225.0321,24,1.0254,0.0,1,0.5245474711371619
429,18454_00022,CP,34,34,67.3564,542.0514,16,1.1946,0.0,0,0.4810881398572903
430,18454_00024,CP,35,35,53.8104,44.2622,16,1.1218,0.0,0,0.6438770284692213
431,18454_00027,CP,42,42,85.449,762.6663,20,1.0397,0.0,0,0.45063716285982336
432,18454_00028,CP,28,28,43.9973,163.6497,13,0.9358,0.0,0,0.5530092123264103
433,18454_00029,CP,39,39,72.8,711.5529,17,0.5427,0.0,0,0.4782254100603303
434,18454_00039,CP,38,38,97.7973,1034.3666,15,1.099,0.0,0,0.36453034039692894
435,18454_00049,CP,27,27,79.7702,901.8018,12,2.0732,0.0,0,0.37478848241233625
436,18454_00093,CP,38,38,56.8154,149.3736,17,1.1033,0.0,0,0.5719096395225698
437,18454_00111,CP,72,72,150.3147,921.9738,34,0.8927,0.0,1,0.4145554269505979
438,18454_00174,CP,47,47,82.5417,219.7423,22,1.3527,0.0,0,0.4801547912541475
439,18454_01078,CP,36,36,89.4924,972.0698,17,1.34,0.0,0,0.39375517287400374
440,18455_00002,CP,36,36,77.029,183.4367,15,0.6975,0.0,0,0.6288200144648948
441,18455_00004,CP,35,35,51.368,164.414,16,0.7347,0.0,0,0.5507419308866641
442,18455_00005,CP,35,35,71.029,616.3943,16,1.8162,0.0,0,0.42159416123352955
443,18455_00007,CP,44,44,72.2022,482.8527,21,0.5638,0.0,0,0.47658148537524064
444,18455_00008,CP,38,38,73.403,481.064,18,1.0263,0.0,0,0.4104051622367573
445,18455_00009,CP,34,34,78.8604,687.7163,15,0.8225,0.0,0,0.40385709672725406
446,18455_00012,CP,41,41,87.8123,566.9322,18,1.0744,0.0,0,0.43918189533476193
447,18455_00013,CP,39,39,93.1273,908.7401,17,1.3063,0.0,0,0.4334292509573804
448,18455_00014,CP,39,39,84.1861,846.2452,17,1.0335,0.0,0,0.43476084955066246
449,18455_00016,CP,33,33,59.6012,268.0921,14,0.8332,0.0,0,0.5097194058058426
450,18455_00026,CP,39,39,81.4458,611.8606,17,0.7958,0.0,0,0.4811584702987274
451,18455_00028,CP,81,81,193.8223,996.1272,38,0.8771,0.0,1,0.4218581357410153
452,18455_00030,CP,24,24,75.1733,858.4991,10,1.1566,0.0,0,0.5001917944901123
453,18455_00031,CP,27,27,72.591,458.0331,11,0.64,0.0,0,0.5013847674861164
454,18455_00032,CP,41,41,96.0419,810.7087,18,1.7262,0.0,0,0.41638156334816634
455,18455_00033,CP,55,55,77.5623,153.4935,27,1.3987,0.0,1,0.5794003611008355
456,18455_00036,CP,41,41,67.6499,300.1142,20,1.9975,0.0,0,0.4622765006571492
457,18455_00037,CP,88,88,174.8572,1081.1983,42,1.4728,0.0,1,0.4235604927800125
458,18455_00040,CP,37,37,69.7368,380.3642,16,1.3299,0.0,0,0.41872860970923315
459,18455_00041,CP,31,31,76.4187,350.5193,14,0.9606,0.0,0,0.5199385048418411
460,18455_00106,CP,36,36,84.4239,485.2913,15,1.1201,0.0,0,0.4971393819958463
461,18455_00110,CP,34,34,70.4065,244.5856,15,1.23,0.0,0,0.5382615761387267
462,18455_00119,CP,50,50,106.4655,624.5721,22,0.4493,0.0,0,0.5027407480808744
463,18455_00135,CP,56,56,104.6829,584.0521,25,0.9733,0.0,1,0.39978541627879394
464,18455_00172,CP,43,43,84.6441,531.4571,20,1.1505,0.0,0,0.4690836575576762
465,18455_00180,CP,44,44,75.6868,258.182,21,0.966,0.0,0,0.5121526803120318
466,18455_00181,CP,68,68,159.9892,830.1029,31,1.2186,0.0,1,0.4296957612310261
467,18455_00182,CP,62,62,126.3471,736.8924,30,0.9117,0.0,1,0.42872879112070933
